,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Continuation,5,4,49,17,0,0,11,17,0,0
dia-continuation,2,17,22,98,0,0,27,32,0,0
Question-answer complaint Pair,0,0,0,0,0,0,3,0,0,0
Conditional,0,0,3,0,0,1,1,1,0,0
Question-answer_pair,1,18,4,17,0,0,88,13,0,1
Question Extension,3,8,20,25,0,0,11,98,0,0
Correction,0,1,0,0,0,0,0,1,0,0
Contrast,1,1,1,0,0,1,3,0,0,1
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,1,8,7,0,0,3,10,0,0
Acknowledgment,0,82,1,9,0,0,22,4,0,1
Continuation,5,2,37,13,0,1,9,19,0,0
dia-continuation,3,12,24,94,0,0,19,22,0,0
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,10,0,0,0,0,2,0,0
Question-answer_pair,3,19,8,17,0,0,65,12,0,0
Question Extension,5,1,11,32,0,1,12,86,0,0
Correction,1,0,1,1,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,5,0,0,1
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,6,5,0,0,2,3,0,0
Acknowledgment,2,109,1,13,0,0,17,6,0,1
Continuation,3,5,48,22,0,0,7,16,0,1
dia-continuation,3,14,18,114,0,0,16,31,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,18,4,22,0,0,83,12,0,2
Question Extension,3,8,21,24,0,0,10,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,1,0,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,7,2,6,9,0,0,3,10,0,0
Acknowledgment,0,89,1,13,0,0,12,3,0,1
Continuation,8,2,39,16,0,0,4,15,0,0
dia-continuation,5,9,22,100,0,0,16,19,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,10,0,0,0,0,2,0,0
Question-answer_pair,4,24,7,19,0,0,56,12,0,2
Question Extension,4,1,15,36,0,0,9,83,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,3,0,0,3
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,10,1,6,6,0,0,2,3,0,0
Acknowledgment,4,104,1,12,0,0,23,6,0,0
Continuation,3,4,51,21,0,0,5,20,0,0
dia-continuation,2,14,20,112,0,0,17,33,0,0
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,14,8,24,0,2,78,12,0,3
Question Extension,3,8,20,20,0,0,8,106,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,1,1,1,0,0,1,1,0,0,3
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,9,1,6,8,0,0,3,10,0,0
Acknowledgment,0,80,1,13,0,0,19,5,0,1
Continuation,7,2,40,13,0,1,4,19,0,0
dia-continuation,5,9,24,99,0,0,14,22,0,1
Question-answer complaint Pair,0,0,0,1,0,0,0,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,3,18,10,21,0,0,60,11,0,1
Question Extension,4,1,13,30,0,0,10,90,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,4,0,0,2
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,10,1,9,4,0,0,2,2,0,0
Acknowledgment,2,114,2,11,0,0,14,6,0,1
Continuation,1,4,53,24,0,0,3,16,0,2
dia-continuation,2,19,22,106,0,0,14,33,0,2
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,20,8,21,0,1,76,12,0,3
Question Extension,2,9,27,27,0,0,7,93,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,7,1,8,10,0,0,3,8,0,0
Acknowledgment,0,91,1,10,0,0,11,5,0,1
Continuation,5,2,45,15,0,0,3,14,0,1
dia-continuation,3,10,26,104,0,0,10,20,0,1
Question-answer complaint Pair,0,0,0,1,0,0,0,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,3,24,10,18,0,0,55,13,0,1
Question Extension,3,2,16,29,0,0,9,90,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,0,2,1,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,6,6,0,0,2,2,0,0
Acknowledgment,3,114,1,11,0,0,13,7,0,1
Continuation,3,5,46,27,0,0,5,17,0,1
dia-continuation,1,18,19,113,0,0,15,31,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,2,2,0,1,0,1,0,0
Question-answer_pair,1,19,5,24,0,0,78,12,0,3
Question Extension,3,10,24,24,0,0,8,96,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,1,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,7,2,5,12,0,0,3,8,0,0
Acknowledgment,0,92,1,11,0,0,10,4,0,1
Continuation,7,3,38,20,0,0,4,13,0,0
dia-continuation,5,10,21,107,0,0,11,19,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,26,7,21,0,0,54,11,0,1
Question Extension,3,2,14,35,0,0,10,84,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,2,113,1,11,0,0,15,7,0,1
Continuation,3,5,46,28,0,0,4,17,0,0
dia-continuation,2,16,18,113,0,0,15,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,2,2,0,1,0,1,0,0
Question-answer_pair,1,18,4,24,0,0,80,12,0,3
Question Extension,3,8,23,25,0,0,9,97,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,6,3,6,10,0,0,3,9,0,0
Acknowledgment,0,90,1,11,0,0,11,5,0,1
Continuation,5,2,41,18,0,0,4,15,0,0
dia-continuation,2,9,22,106,0,0,13,21,0,1
Question-answer complaint Pair,0,0,0,1,0,0,0,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,3,24,8,20,0,0,56,11,0,2
Question Extension,3,2,14,33,0,0,9,88,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,114,1,11,0,0,13,6,0,1
Continuation,4,5,47,22,0,0,6,18,0,1
dia-continuation,2,18,20,106,0,0,17,34,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,21,5,18,0,0,80,14,0,3
Question Extension,3,9,20,22,0,0,10,101,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,9,3,5,8,0,0,3,9,0,0
Acknowledgment,0,91,1,10,0,0,11,5,0,1
Continuation,9,3,37,14,0,0,4,17,0,1
dia-continuation,6,11,22,99,0,0,15,20,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,24,7,18,0,0,57,12,0,2
Question Extension,4,2,11,31,0,1,10,89,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,114,1,11,0,0,13,6,0,1
Continuation,5,5,52,20,0,0,6,16,0,0
dia-continuation,5,18,24,109,0,0,16,26,0,0
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,20,7,20,0,2,79,11,0,2
Question Extension,3,9,26,23,0,0,10,94,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,1,0,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,90,1,10,0,0,12,5,0,1
Continuation,8,2,40,16,0,1,4,14,0,0
dia-continuation,6,11,24,100,0,0,15,17,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,24,8,19,0,0,56,11,0,2
Question Extension,3,1,14,32,0,1,12,85,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,108,1,11,0,0,19,6,0,1
Continuation,3,5,47,24,0,0,6,17,0,1
dia-continuation,2,16,21,107,0,0,16,35,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,7,21,0,0,77,14,0,3
Question Extension,3,9,23,22,0,0,8,100,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,1,0,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,2,7,8,0,0,3,9,0,0
Acknowledgment,0,87,1,10,0,0,15,5,0,1
Continuation,6,2,42,17,0,0,4,14,0,0
dia-continuation,4,10,24,101,0,0,14,20,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,24,8,19,0,0,55,13,0,1
Question Extension,3,1,14,28,0,0,10,92,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,8,5,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,50,22,0,0,6,16,0,1
dia-continuation,2,17,23,105,0,0,16,34,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,9,25,22,0,0,9,97,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,9,2,7,7,0,0,3,9,0,0
Acknowledgment,0,89,1,10,0,0,13,5,0,1
Continuation,6,2,43,15,0,0,4,15,0,0
dia-continuation,5,10,25,99,0,0,14,20,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,24,9,19,0,0,54,12,0,2
Question Extension,4,1,14,27,0,1,11,90,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,110,1,11,0,0,17,6,0,1
Continuation,3,5,50,21,0,0,6,18,0,1
dia-continuation,2,16,23,105,0,0,16,35,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,18,6,20,0,0,80,14,0,3
Question Extension,3,9,23,21,0,0,9,100,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,7,0,0,3,9,0,0
Acknowledgment,0,87,1,10,0,0,15,5,0,1
Continuation,5,2,43,15,0,0,4,16,0,0
dia-continuation,5,10,27,94,0,0,13,24,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,3,23,10,18,0,0,55,13,0,2
Question Extension,3,1,14,26,0,1,10,93,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,3,111,1,11,0,0,17,6,0,1
Continuation,3,5,50,21,0,0,6,18,0,1
dia-continuation,2,17,21,108,0,0,17,32,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,20,0,0,79,14,0,3
Question Extension,3,9,23,22,0,0,9,99,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,7,0,0,3,9,0,0
Acknowledgment,0,88,1,10,0,0,14,5,0,1
Continuation,6,2,41,15,0,0,4,17,0,0
dia-continuation,6,10,24,97,0,0,15,21,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,24,7,19,0,0,55,13,0,2
Question Extension,3,1,15,29,0,0,11,89,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,3,113,1,11,0,0,15,6,0,1
Continuation,3,5,51,20,0,0,6,18,0,1
dia-continuation,2,17,22,107,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,9,23,22,0,0,9,99,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,90,1,11,0,0,11,5,0,1
Continuation,5,2,43,16,0,0,4,15,0,0
dia-continuation,4,10,27,97,0,0,14,21,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,3,23,9,20,0,0,54,13,0,2
Question Extension,3,2,15,28,0,0,11,89,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,110,1,11,0,0,17,6,0,1
Continuation,4,5,49,21,0,0,6,18,0,1
dia-continuation,2,15,21,106,0,0,17,36,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,15,6,21,0,0,81,15,0,3
Question Extension,3,9,23,22,0,0,9,99,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,9,2,7,7,0,0,3,9,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,7,2,38,16,0,0,4,18,0,0
dia-continuation,6,10,25,95,0,0,13,24,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,19,0,0,56,15,0,2
Question Extension,4,1,13,27,0,1,10,92,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,3,5,47,23,0,0,7,18,0,1
dia-continuation,2,17,19,108,0,0,17,34,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,18,6,20,0,0,79,15,0,3
Question Extension,3,9,23,22,0,0,9,99,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,9,2,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,38,17,0,0,4,18,0,0
dia-continuation,6,10,23,97,0,0,14,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,27,0,1,10,92,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,112,1,11,0,0,15,6,0,1
Continuation,4,5,48,23,0,0,6,17,0,1
dia-continuation,2,18,20,106,0,0,17,34,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,18,6,20,0,0,79,15,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,87,1,11,0,0,14,5,0,1
Continuation,7,2,38,16,0,0,4,18,0,0
dia-continuation,6,10,23,97,0,0,14,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,27,0,1,10,92,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,48,23,0,0,6,17,0,1
dia-continuation,2,18,22,107,0,0,16,32,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,7,21,0,0,80,11,0,3
Question Extension,3,10,23,23,0,0,9,97,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,87,1,11,0,0,14,5,0,1
Continuation,7,2,40,15,0,0,4,16,0,1
dia-continuation,7,10,23,100,0,0,14,19,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,7,20,0,0,56,13,0,2
Question Extension,3,1,14,29,0,1,11,89,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,48,23,0,0,6,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,7,2,38,16,0,0,4,18,0,0
dia-continuation,7,10,24,97,0,0,13,22,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,48,24,0,0,5,17,0,1
dia-continuation,2,18,22,107,0,0,16,32,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,87,1,11,0,0,14,5,0,1
Continuation,6,2,39,16,0,0,4,18,0,0
dia-continuation,7,10,23,99,0,0,13,21,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,13,29,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,50,21,0,0,6,17,0,1
dia-continuation,2,18,22,107,0,0,16,32,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,39,16,0,0,4,18,0,0
dia-continuation,7,10,24,96,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,29,0,1,10,90,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,50,21,0,0,6,17,0,1
dia-continuation,2,18,22,105,0,0,17,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,7,20,0,0,79,13,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,42,14,0,0,4,16,0,1
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,11,90,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,50,21,0,0,6,17,0,1
dia-continuation,2,18,22,105,0,0,17,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
